,Home,Away,Time,Fixture,Score,Draw,Date,Home Team,Away Team,Home Odds,Away Odds,Draw Odds
0,191/100,43/25,19:00,Crystal Palace - Brighton,1:1,211/100,27 Sep 2021,Crystal Palace , Brighton,2.91,2.72,3.11
3,123/100,62/25,15:30,Arsenal - Tottenham,3:1,241/100,26 Sep 2021,Arsenal , Tottenham,2.23,3.48,3.41
4,119/100,13/5,13:00,Southampton - Wolves,0:1,233/100,26 Sep 2021,Southampton , Wolves,2.19,3.6,3.33
7,337/50,21/50,16:30,Brentford - Liverpool,3:3,199/50,25 Sep 2021,Brentford , Liverpool,7.74,1.42,4.98
8,7/10,459/100,14:00,Everton - Norwich,2:0,11/4,25 Sep 2021,Everton , Norwich,1.7,5.59,3.75
9,201/100,34/25,14:00,Leeds - West Ham,1:2,261/100,25 Sep 2021,Leeds , West Ham,3.01,2.36,3.61
10,69/100,447/100,14:00,Leicester - Burnley,2:2,72/25,25 Sep 2021,Leicester , Burnley,1.69,5.47,3.88
11,57/50,64/25,14:00,Watford - Newcastle,1:1,63/25,25 Sep 2021,Watford , Newcastle,2.14,3.56,3.52
12,48/25,33/20,11:30,Chelsea - Manchester City,0:1,11/5,25 Sep 2021,Chelsea , Manchester City,2.92,2.65,3.2
13,41/100,7/1,11:30,Manchester Utd - Aston Villa,0:1,201/50,25 Sep 2021,Manchester Utd , Aston Villa,1.41,8.0,5.02
16,169/50,19/20,15:30,Tottenham - Chelsea,0:3,61/25,19 Sep 2021,Tottenham , Chelsea,4.38,1.95,3.44
17,77/50,41/20,13:00,Brighton - Leicester,2:1,111/50,19 Sep 2021,Brighton , Leicester,2.54,3.05,3.22
18,341/100,21/25,13:00,West Ham - Manchester Utd,1:2,281/100,19 Sep 2021,West Ham , Manchester Utd,4.41,1.84,3.81
21,121/100,251/100,16:30,Aston Villa - Everton,3:0,12/5,18 Sep 2021,Aston Villa , Everton,2.21,3.51,3.4
22,283/100,1/1,14:00,Burnley - Arsenal,0:1,267/100,18 Sep 2021,Burnley , Arsenal,3.83,2.0,3.67
23,7/25,263/25,14:00,Liverpool - Crystal Palace,3:0,129/25,18 Sep 2021,Liverpool , Crystal Palace,1.28,11.52,6.16
24,9/50,1657/100,14:00,Manchester City - Southampton,0:0,359/50,18 Sep 2021,Manchester City , Southampton,1.18,17.57,8.18
25,13/10,119/50,14:00,Norwich - Watford,1:3,58/25,18 Sep 2021,Norwich , Watford,2.3,3.38,3.32
26,21/25,211/50,11:30,Wolves - Brentford,0:2,59/25,18 Sep 2021,Wolves , Brentford,1.84,5.22,3.36
29,213/100,63/50,19:00,Newcastle - Leeds,1:1,67/25,17 Sep 2021,Newcastle , Leeds,3.13,2.26,3.68
32,77/100,22/5,19:00,Everton - Burnley,3:1,51/20,13 Sep 2021,Everton , Burnley,1.77,5.4,3.55
35,391/100,67/100,15:30,Leeds - Liverpool,0:3,337/100,12 Sep 2021,Leeds , Liverpool,4.91,1.67,4.37
38,17/50,889/100,16:30,Chelsea - Aston Villa,3:0,429/100,11 Sep 2021,Chelsea , Aston Villa,1.34,9.89,5.29
39,21/50,341/50,14:00,Arsenal - Norwich,1:0,99/25,11 Sep 2021,Arsenal , Norwich,1.42,7.82,4.96
40,51/25,167/100,14:00,Brentford - Brighton,0:1,41/20,11 Sep 2021,Brentford , Brighton,3.04,2.67,3.05
41,93/20,16/25,14:00,Leicester - Manchester City,0:1,309/100,11 Sep 2021,Leicester , Manchester City,5.65,1.64,4.09
42,19/100,1523/100,14:00,Manchester Utd - Newcastle,4:1,649/100,11 Sep 2021,Manchester Utd , Newcastle,1.19,16.23,7.49
